id,tweet,datetime
1110580147386671104,"Top stories now on https://t.co/Fbzw6mR9Q5 

#NDTVTopStories https://t.co/002vy964tD",2019-03-26 16:31:55
1110580069024432128,"#ElectionWhispers: Inside scoop on Union Minister Giriraj Singh, why BJP is ‘miffed’ with Giriraj Singh, why Begusa… https://t.co/IqKwBgAkmR",2019-03-26 16:31:36
1110579937067651074,"Match 5. 1.3: A Patel to S Watson, 4 runs, 15/0 https://t.co/Z5xBx8hq76 #DCvCSK #VIVOIPL",2019-03-26 16:31:05
1110579924635508736,Watto Welcome to Axar Patel! Cut away! #WhistlePodu #Yellove #DCvCSK 💛🦁,2019-03-26 16:31:02
1110579751956201472,"Does PM Modi's biopic have the strength to affect the masses? 
Watch #5iveLive with @ShivAroor to know more:… https://t.co/6OXMdCGqbY",2019-03-26 16:30:21
1110579723766239232,"Match 5. 1.1: A Patel to S Watson, 4 runs, 11/0 https://t.co/Z5xBx8hq76 #DCvCSK #VIVOIPL",2019-03-26 16:30:14
1110579666790674437,Another underage Hindu girl abducted in Pakistan's Sindh https://t.co/uceA4wN1va via @TOIWorld https://t.co/7xCdqUY0oU,2019-03-26 16:30:00
1110579666245636098,"Mocked JD(S)-Congress for ticket tussle; Now double dissent for BJP.

Join @PadmajaJoshi @thenewshour at 10 PM on T… https://t.co/yHxSUIpT2f",2019-03-26 16:30:00
1110579666216054784,"ICYMI: @cricket_nigeria are going to next year's U19 Cricket World Cup! 🇳🇬

Recap what happened at a thrilling #U19CWC Africa Qualifier! 👇",2019-03-26 16:30:00
1110579543167758336,Champion Running D World in Asia with a triple strike! @DJBravo47 #WhistlePodu #Yellove #DCvCSK 🦁💛 https://t.co/9xOvxjoYue,2019-03-26 16:29:31
1110579539569065984,"RT @HTSportsNews: #AzlanShahCup2019 | India jump to second spot after beating Malaysia 4-2

https://t.co/C149xuFHID",2019-03-26 16:29:30
1110579489543802880,"The election in the whole country is to reelect PM Modi with a bigger majority: @Tejasvi_Surya  #ReporterDiary
Repo… https://t.co/lUIYLUcMZZ",2019-03-26 16:29:18
1110579474930651138,"CCLLLOOSEEEE!!!! 😓😓

Rayudu gets an outside-edge, but the ball evades Dhawan at slip. Koi nahi bhai, good bowling… https://t.co/SDusz8e2vB",2019-03-26 16:29:15
1110579413626900480,"Kerala forms SIT after drone buzzes over Padmanabha temple and police HQ
 https://t.co/dAfvLiCxGa https://t.co/Ew9zXsW7oX",2019-03-26 16:29:00
1110579355732733952,Shardul's sliding catch to dismiss Pant https://t.co/PE6bE3mebf via @ipl,2019-03-26 16:28:46
1110579230897651712,"#IndiaElects #LokSabhaElections2019
Will Rahul Gandhi's NYAY scheme prove to be a real surgical strike on poverty?… https://t.co/6vkeFlztBM",2019-03-26 16:28:16
1110579039780007936,"RT @CricketNDTV: IPL 2019: FOUR! Ambati Rayudu starts with a boundary

#IPL2019 #DCvCSK

Live Updates: https://t.co/jmWiunluml

Live Scorec…",2019-03-26 16:27:31
1110578933617946624,"Modi only PM to give terrorists in Pakistan strong response: @AmitShah 
#IndiaElects
Live Updates:… https://t.co/izuUWeTmQC",2019-03-26 16:27:05
1110578853313826817,Watto and Bahubali out there to do this! And that's a four... #WhistlePodu #Yellove #DCvCSK 💛🦁 https://t.co/8GyIxBQ97O,2019-03-26 16:26:46
1110578745231003653,"Match 5. 0.3: I Sharma to A Rayudu, 4 runs, 5/0 https://t.co/Z5xBx8hq76 #DCvCSK #VIVOIPL",2019-03-26 16:26:21
