id,tweet,datetime
1110581865214181376,"OUT! Ishant strikes, Rayudu departs, DC have their 1st wicket

DC: 21/1

#DCvCSK 

Live: https://t.co/SbrICGoIgV",2019-03-26 16:38:44
1110581863427399680,"WWWWWIIIIICCCKKKKEEEETTTT!!!!! 💪💪💪

COME ON @ImIshant, BREAKTHROUGH MIL GAYA! 🙌  

#CSK - 21/1 in 2.4 overs.… https://t.co/R84K1TIMvA",2019-03-26 16:38:44
1110581856099946497,Ishant strikes and Bahubali has to go! #ChinnaThala is the new Lion in! #WhistlePodu #Yellove #DCvCSK 💛🦁,2019-03-26 16:38:42
1110581749698826240,"#IndiaElects #LokSabhaElections2019
Will BJP be able to convince the voters about their fight against poverty?
Watc… https://t.co/xsynSMavpC",2019-03-26 16:38:17
1110581633567080448,"Match 5. 2.4: WICKET! A Rayudu (5) is out, c Shreyas Iyer b Ishant Sharma, 21/1 https://t.co/Z5xBx8hq76 #DCvCSK #VIVOIPL",2019-03-26 16:37:49
1110581624201109504,"#IPL2019 | I don’t want to be Ashwin, says @KP24 after ‘Mankading’ incident

#AshwinMankads

(via @HTSportsNews) 

https://t.co/NVeR7IjiZR",2019-03-26 16:37:47
1110581611047743488,".@BrightonHillSch @WatkinsBHCS Science students have been rooting for us all the way from Basingstoke, Hampshire UK… https://t.co/iKABv1alVS",2019-03-26 16:37:44
1110581418281730049,This superfandom is #yellove everywhere we go! #WhistlePodu #Yellove #DCvCSK 💛🦁 https://t.co/8fbQk3Efmn,2019-03-26 16:36:58
1110581159468007424,".@GautamGambhir in Delhi BJP's fresh list of 31 probable candidates
#IndiaElects
Live Updates:… https://t.co/OoRw9gdP37",2019-03-26 16:35:56
1110580925165780992,"RT @ndtvfeed: Akhilesh Yadav From Azamgarh Seat A Mix Of ""Lathi, Hathi"": Party Leader https://t.co/ZD0h5wU62T",2019-03-26 16:35:00
1110580896510500864,"Match 5. 2.2: I Sharma to S Watson, 4 runs, 20/0 https://t.co/Z5xBx8hq76 #DCvCSK #VIVOIPL",2019-03-26 16:34:53
1110580780445499393,"Two boundaries from @akshar2026's over.

Chalo boys, wicket chahiye! 

#CSK - 16/0 in 2 overs. 

#DCvCSK #ThisIsNewDelhi #DelhiCapitals",2019-03-26 16:34:26
1110580609007652865,"#IndiaTodayExclusive: Property acquired with terror funds to be seized soon. India Today’s @AbhishekBhalla7, PDP’s… https://t.co/ebTzrz6NfA",2019-03-26 16:33:45
1110580523422740480,"RT @moviesndtv: Aparshakti Khuranna On Competition With Brother Ayushmann
https://t.co/7fNuoWfBwB https://t.co/pX9GLF7bB4",2019-03-26 16:33:25
1110580506838683649,Auctioning of 68 seized paintings belonging to #PNBscam accused #NiravModi is underway in Mumbai. @journovidya gets… https://t.co/2aysgEw2oF,2019-03-26 16:33:21
1110580436009451522,"Pakistan PM Imran Khan is scared of India.  
India Today’s @hamzaameer74, from Islamabad, brings detailed informati… https://t.co/HLN0BlcWLD",2019-03-26 16:33:04
1110580347291361287,RT @CricketNDTV: IPL 2019: FOUR! Shane Watson guides a shortish delivery by Axar Patel into the gap for a boundary. It takes Chennai Super…,2019-03-26 16:32:43
1110580147386671104,"Top stories now on https://t.co/Fbzw6mR9Q5 

#NDTVTopStories https://t.co/002vy964tD",2019-03-26 16:31:55
1110580069024432128,"#ElectionWhispers: Inside scoop on Union Minister Giriraj Singh, why BJP is ‘miffed’ with Giriraj Singh, why Begusa… https://t.co/IqKwBgAkmR",2019-03-26 16:31:36
1110579937067651074,"Match 5. 1.3: A Patel to S Watson, 4 runs, 15/0 https://t.co/Z5xBx8hq76 #DCvCSK #VIVOIPL",2019-03-26 16:31:05
