id,tweet,datetime
1110579413626900480,"Kerala forms SIT after drone buzzes over Padmanabha temple and police HQ
 https://t.co/dAfvLiCxGa https://t.co/Ew9zXsW7oX",2019-03-26 16:29:00
1110579355732733952,Shardul's sliding catch to dismiss Pant https://t.co/PE6bE3mebf via @ipl,2019-03-26 16:28:46
1110579230897651712,"#IndiaElects #LokSabhaElections2019
Will Rahul Gandhi's NYAY scheme prove to be a real surgical strike on poverty?… https://t.co/6vkeFlztBM",2019-03-26 16:28:16
1110578933617946624,"Modi only PM to give terrorists in Pakistan strong response: @AmitShah 
#IndiaElects
Live Updates:… https://t.co/izuUWeTmQC",2019-03-26 16:27:05
1110578853313826817,Watto and Bahubali out there to do this! And that's a four... #WhistlePodu #Yellove #DCvCSK 💛🦁 https://t.co/8GyIxBQ97O,2019-03-26 16:26:46
1110578745231003653,"Match 5. 0.3: I Sharma to A Rayudu, 4 runs, 5/0 https://t.co/Z5xBx8hq76 #DCvCSK #VIVOIPL",2019-03-26 16:26:21
1110578720157253639,"Feel sorry for LK Advani: @MamataOfficial 
#IndiaElects
Live Updates: https://t.co/hou8UMx1TQ https://t.co/iLwigTVlLQ",2019-03-26 16:26:15
1110578670303772679,".@ImIshant ne kari hai shuruaat! Let's get some quick wickets boys!

#CSK - 0/0 in 0.1 overs. 

#DCvCSK #ThisIsNewDelhi #DelhiCapitals",2019-03-26 16:26:03
1110578657636962305,Champion Game Changer for @ChennaiIPL 🤙🤙 https://t.co/Vb4VNUXD3X,2019-03-26 16:26:00
1110578632076869632,RT @CricketNDTV: IPL 2019: Shane Watson and Ambati Rayudu are out in the middle to start Chennai Super Kings' chase of 148. Ishant Sharma t…,2019-03-26 16:25:54
1110578617124216832,"RT @HTSportsNews: How to save a life with @MichaelPhelps | #Video

https://t.co/LLmi2IC8bh https://t.co/lNdnehNS1p",2019-03-26 16:25:50
1110578481732177920,"Aa gaya tuhadda bhai, Andrew Tye 🎯

#SaddaPunjab #SaddaSquad @aj191 https://t.co/e6QvqZRExf",2019-03-26 16:25:18
1110577920974553088,"#ElectionWhispers: Inside scoop on Union Minister Giriraj Singh, why BJP is ‘miffed’ with Giriraj Singh, why Begusa… https://t.co/0A3mMv2AMt",2019-03-26 16:23:04
1110577818872745985,Is PM Modi's biopic a propaganda or just freedom of expression? Listen to what the panellists discussed on… https://t.co/jpOxuTo34w,2019-03-26 16:22:40
1110577557399851010,"Has Rahul Gandhi succeeded in shifting the electoral narrative with the Nyay Yojna? Panellists debate over it.
(Pol… https://t.co/GVf8aIw4Mq",2019-03-26 16:21:37
1110577322841628672,"I am not alone now, the party is with me: Jaya Prada in conversation with @navikakumar. |  #KalakaarYaKaryakarta… https://t.co/a9vmZLR63t",2019-03-26 16:20:41
1110577198962925569,"#IPL2019 | @DJBravo47's spell restricts @DelhiCapitals to 147 after @SDhawan25's 50

#DCvCSK

DC: 147/6 in 20 overs… https://t.co/rjZEduv9Bi",2019-03-26 16:20:12
1110577148824375296,"#IndiaOpen #KidambiSrikanth #PVSindhu

@Pvsindhu1, @srikidambi eager to reclaim India Open crowns before bigger bat… https://t.co/t0EaQTTbRX",2019-03-26 16:20:00
1110576932142235648,"#IndiaElects #LokSabhaElections2019
Is the world going towards a global recession? Listen to what the former RBI go… https://t.co/r1nqTCbHni",2019-03-26 16:19:08
