id,tweet,datetime
1110984076125704194,"Mission Shakti successful, India stands tall as space power, says PM Modi; Rahul praises DRDO, slams PM | Click her… https://t.co/ARJpnPaKUc",2019-03-27 19:16:59
1110983576877744128,"Asus has also launched a new gaming mousepad that doubles up as a wireless charging pad. Called the ROG Balteus Qi,… https://t.co/sYQFRnwI3c",2019-03-27 19:15:00
1110983459349118976,The Player of the Match award in Abu Dhabi goes to @patcummins30 for his 3/24 that tore through the Pakistan top-or… https://t.co/xd3tlhNIj6,2019-03-27 19:14:32
1110982070833156097,"Lok Sabha election 2019: Prakash Ambedkar to contest from Akola, Solapur seats  | #May23WithTimesNow | Click here:… https://t.co/flxmXv3R1I",2019-03-27 19:09:01
1110980157899264000,"RT @realpreityzinta: Congrats @iamsrk 😘 Well played KKR.  It was a massive score &amp; we tried but it was not our day today, but tomorrow is a…",2019-03-27 19:01:25
1110979811957264386,"""They think how a Shudra like Prakash Ambedkar can use a helicopter for election campaign.""
#IndiaElects

https://t.co/v51RuDe1ig",2019-03-27 19:00:02
1110979808068943872,"#MissionShakti' and A-SAT missile test: All you need to know 

Read: https://t.co/ZjXcQp7VkI https://t.co/d0r9q01ej8",2019-03-27 19:00:01
1110979233441107968,"Neither Surya nor BJP has reacted to the  Congress' allegations so far.
#IndiaElects

https://t.co/tohhfgJhfH",2019-03-27 18:57:44
1110979185852465152,"Australia seal the series win with a 3-0 lead!

Adam Zampa takes his ODI best 4/43 while Pat Cummins takes 3/24 as… https://t.co/JCkZm96CJd",2019-03-27 18:57:33
1110978500146561024,"💜 ➕ 👑 = 🤩🤩🤩

@iamsrk #KKRvKXIP #VIVOIPL #KKRHaiTaiyaar https://t.co/o9xqpeAqus",2019-03-27 18:54:50
1110978338946994176,"Has India conquered the final frontier with #ASAT? VK Saraswat, Former DG, DRDO, responds.
Watch #IndiaFirst with… https://t.co/pDkJv7dT2r",2019-03-27 18:54:11
1110976026484473856,"Report: On the Punjab market, the official told reporters that Punjab-based retailers are the highest sellers of sp… https://t.co/LHiODySNEW",2019-03-27 18:45:00
1110975740806193152,"🤳@lynny50 with our special fan, @harshulgoenka1 💜

#KKRvKXIP #KKRHaiTaiyaar https://t.co/gGJVCwEPqS",2019-03-27 18:43:52
1110975351537233920,RT @iamanmolpreet28: Thank you so very much 😇🙏🏻@mipaltan https://t.co/0F9Hk5VAEU,2019-03-27 18:42:19
1110975131273318401,"India tests first anti-satellite missile system, now a 'space power'
Watch #IndiaFirst with @gauravcsawant -… https://t.co/UWNJe9vxsz",2019-03-27 18:41:26
1110974248820985857,"A high scoring encounter was lit up by these amazing performances! 🌟

#KKRvKXIP #VIVOIPL #KKRHaiTaiyaar https://t.co/gG3Ntkupj9",2019-03-27 18:37:56
1110974243695550465,RT @ndtvfeed: Actress Sumalatha To Take On Three Namesakes In Mandya Polls https://t.co/AiJM6r54Ee,2019-03-27 18:37:55
1110974204193566720,RT @ndtvfeed: Plea For Restraining Candidates From Contesting From More Than One Seat https://t.co/kmnVbCwSTt,2019-03-27 18:37:45
1110974185449254912,"RT @ndtvfeed: In Defamation Case, Court Refuses To Stay Proceeding Against Tata, Others https://t.co/DKDQQODIAa",2019-03-27 18:37:41
1110974169221484544,"RT @ndtvfeed: Hardik Patel, Jignesh Mevani To Campaign For Kanhaiya Kumar In Begusarai https://t.co/K07MI4FOhe",2019-03-27 18:37:37
