id,tweet,datetime
1110567489879056384,"Match 5. 14.6: H Singh to R Pant, 6 runs, 118/2 https://t.co/Z5xBx8hq76 #DCvCSK #VIVOIPL",2019-03-26 15:41:37
1110567429782945792,"#IPL2019 Back channel talks between Sri Lanka cricket, BCCI and Mumbai Indians - coached by Mahela Jaywardene, did… https://t.co/nEs85unJ27",2019-03-26 15:41:23
1110567257405427712,LISTEN IN: @navikakumar asks the legitimate question on @thenewshour tonight. | #RahulFearsAmethi https://t.co/vtTXsHshpO,2019-03-26 15:40:42
1110567081945247745,"Union minister @rsprasad shown black flags at Patna airport 

Read: https://t.co/qIeb56EUsS https://t.co/OhoCsypbWJ",2019-03-26 15:40:00
1110567081747972096,‘Someone also promised 15 lakh’: @yadavakhilesh's dig at Congress’ income plan https://t.co/9ZB7SNk1DE… https://t.co/BmWMVZKIAL,2019-03-26 15:40:00
1110567046012502016,"#IndiaElects #LokSabhaElections2019
Watch Raghuram Rajan decoding the NYAY scheme on #NewsToday with… https://t.co/hyNpEJWLGQ",2019-03-26 15:39:51
1110566869293891584,"TIMES NOW Super Newsbreak: Sensational admission on tape, ‘Rahul is hunting for safe seat’, Insider confirms Rahul’… https://t.co/v4ur6BiSMR",2019-03-26 15:39:09
1110566786125062144,"RT @ndtvfeed: Singed In Gorakhpur, Phulpur Last Year, BJP Yet To Name Poll Candidates https://t.co/ND14FVdOs3",2019-03-26 15:38:49
1110566518490750977,"RT @ndtvfeed: Goa BJP Ally Says ""Conspiracy"" Might Force It To Align With Congress https://t.co/1Uk0TMyssO",2019-03-26 15:37:45
1110566504410472449,#IPL2019 #DCvCSK Shikhar Dhawan and Rishabh Pant are batting together for Delhi Capitals. 6 overs left in the innin… https://t.co/slUw1Rtzr3,2019-03-26 15:37:42
1110566476233097216,RT @moviesndtv: Venkatesh's Daughter Aashritha's Wedding: Samantha Ruth Prabhu Shares Pic Of Bride And Groom With Rana Daggubati And Others…,2019-03-26 15:37:35
1110566274294120448,"RT @CricketNDTV: IPL 2019: 100 up for Delhi Capitals in 13.4 overs

#IPL2019 #DCvCSK

Live Updates: https://t.co/jmWiunluml

Live Scorecard…",2019-03-26 15:36:47
1110566220263124992,"1⃣0⃣0⃣ UP FOR #DC! 👊

@SDhawan25 is in some serious form, with two back-to-back boundaries! 

Live Match Updates -… https://t.co/Z5y82ufGbH",2019-03-26 15:36:34
1110566161979105281,"Feels like I'm going home: Jaya Prada on getting BJP ticket for Rampur
#IndiaElects
Live Updates:… https://t.co/6vLjVGSbSr",2019-03-26 15:36:20
1110566097466675200,"Match 5. 13.5: DJ Bravo to S Dhawan, 4 runs, 107/2 https://t.co/Z5xBx8hq76 #DCvCSK #VIVOIPL",2019-03-26 15:36:05
1110565984518066177,"#IPL2019 | @KKRiders vs @lionsdenkxip: Top 5 player battles to watch out for

(via @HTSportsNews)… https://t.co/Kso3h8oHrk",2019-03-26 15:35:38
1110565943644692482,"Match 5. 13.4: DJ Bravo to S Dhawan, 4 runs, 103/2 https://t.co/Z5xBx8hq76 #DCvCSK #VIVOIPL",2019-03-26 15:35:28
1110565917077827584,"BHAI QUICK RUNNING! ⚡️

@RishabPant777 and @SDhawan25 ki chemistry tod hai bhai! 

#DC - 99/2 in 13.3 overs.… https://t.co/Csf0FQfpjM",2019-03-26 15:35:22
1110565823847038976,Watch the unmissable interview of Jaya Prada with @NavikaKumar on @thenewshour at 9.30 PM. Jaya Prada reveals why s… https://t.co/rODf6nydHd,2019-03-26 15:35:00
1110565563837739008,What makes an @Russell12A keep calm through those Herculean chases? What made @RealShubmanGill remain as cool as a… https://t.co/EawPUzn2qA,2019-03-26 15:33:58
