id,tweet,datetime
1111085499735789571,Congress President Rahul Gandhi had launched a stinging attack against the Trinamool Congress government for not fu… https://t.co/qhSYojCPWZ,2019-03-28 02:00:00
1111085499211407361,".@shahfaesal gets first prominent leader into his party fold in PDP’s Javaid Mustafa Mir, reports @aashiqbhatt… https://t.co/D0tbWJPiL4",2019-03-28 02:00:00
1111084239401947136,"Militants kill civilian in Shopian

https://t.co/CicbrRKav6 https://t.co/5CZ8Gk3F4Y",2019-03-28 01:55:00
1111084181239455744,"Facebook apologises for identifying Kashmir as independent, reports @VidhiTweets

https://t.co/eLNyw61Bm3 https://t.co/uKMV35NQWN",2019-03-28 01:54:46
1111083352012918784,"PM Modi’s televised address to be examined: EC after complaints by opposition

https://t.co/GFwpdR9daG… https://t.co/7e943iCVY4",2019-03-28 01:51:28
1111082982373089281,"Put de-escalation as condition to allow Azhar ban: Pak to China

https://t.co/ViDLU86wOL https://t.co/4PVl4SBDdC",2019-03-28 01:50:00
1111082981362413568,"China praises Communist party-led progress in Tibet, reports @spatranobis 

https://t.co/HpYYwkQqKy https://t.co/n4jx72v3Me",2019-03-28 01:50:00
1111082459867668480,"First woman candidate among 6 in fray for Mizoram Lok Sabha seat, reports @utpal_parashar

https://t.co/AdVzZt2ApP… https://t.co/J2G2NQnRNC",2019-03-28 01:47:56
1111082350178373632,How a secret mission launched satellite killer https://t.co/RwaOhDZdF3 https://t.co/AoN52rFYP3,2019-03-28 01:47:29
1111082288958181378,"""Not worried about Hindu-Muslim vote division because..."": Jaya Prada https://t.co/ja1kUsTZAq

#ElectionsWithNDTV… https://t.co/p8zgVetiy5",2019-03-28 01:47:15
1111081741358374912,"Amid tax raid fears, HD Kumaraswamy warns of ""Mamata Banerjee tactics"" https://t.co/WRKFjB59zk https://t.co/dkVFn3jlAP",2019-03-28 01:45:04
1111081172757405696,"Nehru memorial picks 3 fellows for research on Prime Ministers

https://t.co/xNM925QFZE https://t.co/H59N06kXLd",2019-03-28 01:42:49
1111081024190963717,"Strategic ties with India advance at ‘historic’ pace, says US military

https://t.co/FENNyijR0O https://t.co/mwqAKIXzxs",2019-03-28 01:42:13
1111080876522131457,"Police file FIR against Jharkhand BJP minister

https://t.co/qAce4l1H6g https://t.co/g5NWa6rfos",2019-03-28 01:41:38
1111080699841306624,"Mamata, CPI(M) question special observer’s neutrality, want him removed

https://t.co/5YsTvr8tPT https://t.co/92eUeXkb23",2019-03-28 01:40:56
1111080516944564224,BJP general secretary Ram Madhav announced on Wednesday that PM Narendra Modi will kick off his electoral campaign… https://t.co/xKBwR2vkyc,2019-03-28 01:40:12
1111079923936956416,"""Could have started on anti-satellite weapon earlier"": Missile scientist https://t.co/czwBxvyZCf

#ASAT… https://t.co/GWA5hsjV5P",2019-03-28 01:37:51
1111079822170697734,"RT @timesnowsports: #IPL2019 #KKRvsKXIP 

Kolkata Knight Riders beat Kings XI Punjab by 28 runs to bag 2nd straight win in IPL 2019 

READ:…",2019-03-28 01:37:27
1111079630927093760,"""Just a kid"": Mamata Banerjee's stinging reply to Rahul Gandhi's attack https://t.co/xQTFP1seiK

#ElectionsWithNDTV… https://t.co/QBWKqXDwzv",2019-03-28 01:36:41
1111079319105765376,"Trump says Google CEO Sundar Pichai committed to US, not Chinese military https://t.co/Li0fglupHg https://t.co/2GY54Nt5YB",2019-03-28 01:35:27
