id,tweet,datetime
1110568700061470721,Most work that Smriti Irani ji has done in Amethi is distributed sarees and had a cricket match out there :… https://t.co/uRsq7IRsIy,2019-03-26 15:46:26
1110568605316345857,#IPL2019 | Shardul Thakur takes an excellent catch in the deep to dismiss @RishabPant777 for 25 runs | Live updates… https://t.co/4ouIocf1mv,2019-03-26 15:46:03
1110568563490746368,"India Today's Anti Fake News War Room (AFWA) has found these claims to be misleading. #FactCheck
https://t.co/5j14cw9oNb",2019-03-26 15:45:53
1110568545316827139,"NAHI! ☹️

@RishabPant777 is caught in the deep by Shardul Thakur. 

#DC - 120/3 in 15.2 overs.

#DCvCSK #ThisIsNewDelhi #DelhiCapitals",2019-03-26 15:45:49
1110568500559396866,"#IndiaElects #LokSabhaElections2019
Former RBI governor explains under what circumstances NYAY scheme can be a real… https://t.co/TZU8nFXx3G",2019-03-26 15:45:38
1110568489113260033,"Match 5. 15.2: WICKET! R Pant (25) is out, c Shardul Thakur b Dwayne Bravo, 120/3 https://t.co/Z5xBx8hq76 #DCvCSK #VIVOIPL",2019-03-26 15:45:35
1110568339858841600,"Which emoji will you use to describe @jbairstow21's debut in the 🧡 jersey?

#OrangeArmy #RiseWithUs https://t.co/Jgl8Bv6gFT",2019-03-26 15:45:00
1110568339850579968,"A round-up of the reaction to Jos Buttler's dismissal last night at #IPL2019 - which side of the debate are you on?

https://t.co/0VlnhUZ9Ac",2019-03-26 15:45:00
1110568249341534208,"According to the probe agency, Sushen Gupta was working closely with arrested middlemen Christian Michel, Rajeev Sa… https://t.co/p6pZydQmem",2019-03-26 15:44:38
1110568172476747776,#NewsAlert | Charges dropped against US actor #JussieSmollett accused of hate attack hoax: attorneys (AFP),2019-03-26 15:44:20
1110567934567411719,This is one Lok Sabha constituency where the Opposition's Bihar Mahagathabandhan has now cracked after the CPI fiel… https://t.co/sZdSIhTGyh,2019-03-26 15:43:23
1110567884353232896,"RT @CricketNDTV: IPL 2019: SIX! Rishabh Pant hits a huge six to conclude the 15th over. Delhi Capitals are now eyeing a big total

#IPL2019…",2019-03-26 15:43:11
1110567716744617985,"KHADE KHADE SIX!!!! 

@RishabPant777 👏👏👏👏

#DC - 118/2 in 15 overs.

#DCvCSK #ThisIsNewDelhi #DelhiCapitals https://t.co/MoaDrVgvDs",2019-03-26 15:42:31
1110567489879056384,"Match 5. 14.6: H Singh to R Pant, 6 runs, 118/2 https://t.co/Z5xBx8hq76 #DCvCSK #VIVOIPL",2019-03-26 15:41:37
1110567429782945792,"#IPL2019 Back channel talks between Sri Lanka cricket, BCCI and Mumbai Indians - coached by Mahela Jaywardene, did… https://t.co/nEs85unJ27",2019-03-26 15:41:23
1110567290154545153,RT @ndtvfeed: Gurgaon Family Attackers Felt They Were Immune To Law: Yogendra Yadav https://t.co/l7NRR2i1U3,2019-03-26 15:40:49
1110567257405427712,LISTEN IN: @navikakumar asks the legitimate question on @thenewshour tonight. | #RahulFearsAmethi https://t.co/vtTXsHshpO,2019-03-26 15:40:42
1110567098755895296,"RT @ndtvfeed: 2 Men With ISIS Posters, Details Of J&amp;K Troops Arrested In Patna: Police https://t.co/6MPiYJ2ufP",2019-03-26 15:40:04
1110567081945247745,"Union minister @rsprasad shown black flags at Patna airport 

Read: https://t.co/qIeb56EUsS https://t.co/OhoCsypbWJ",2019-03-26 15:40:00
