id,tweet,datetime
1110965402815746048,"‘Modi’s name, our work will give BJP 74+ seats in Lok Sabha elections’: @myogiadityanath
https://t.co/LNQBoNrkM4… https://t.co/5BSLYyGO5z",2019-03-27 18:02:47
1110965372579209216,An aide justified it on grounds that Sattar had paid for those chairs a few years ago and hence they belonged to hi… https://t.co/jGAD4hNHac,2019-03-27 18:02:40
1110965299392634881,"Facebook bans praise of white nationalism, separatism on its platform https://t.co/UO5YfrCWzp https://t.co/TFIiPTJQsp",2019-03-27 18:02:22
1110965272804904960,"And that's a half-century for MILLER! 🙌

Landed last night and announced his arrival in style. 

KXIP 171/4 (18.4)… https://t.co/tkOqTEsEAx",2019-03-27 18:02:16
1110965260394074117,"Match 6. 18.5: L Ferguson to D Miller, 6 runs, 177/4 https://t.co/xuMescCuS1 #KKRvKXIP #VIVOIPL",2019-03-27 18:02:13
1110965146719916033,"#NewsAlert | Boeing will ""do everything"" to prevent future accidents, says official

(News agency AFP)",2019-03-27 18:01:46
1110965100339294208,"Handy runs from MANDY as he races to 21 off 10 balls. 

168-4 (18.2)

#SaddaPunjab #KXIP #KKRvKXIP #VIVOIPL",2019-03-27 18:01:35
1110964980860370944,"151.3 KMPH! Lockie is breathing 🔥

#KKRvKXIP #VIVOIPL #KKRHaiTaiyaar",2019-03-27 18:01:06
1110964799251218432,"For a change, #ParasakthiExpress didn't run and the Lions did the honours very delicately! #WhistlePodu #Yellove 💛🦁 https://t.co/Kif8d9SK7H",2019-03-27 18:00:23
1110964770918809600,"The entire nation sleeps well when @Jaspritbumrah93 smiles 🤗💙

#OneFamily #CricketMeriJaan #MumbaiIndians #RCBvMI https://t.co/eTe5W8KvQ8",2019-03-27 18:00:16
1110964742561153026,"Match 6. 18.2: L Ferguson to M Singh, 4 runs, 168/4 https://t.co/xuMescCuS1 #KKRvKXIP #VIVOIPL",2019-03-27 18:00:10
1110964704153948162,"Mehul Choksi says not related to firm involved in PNB fraud, claims innocence https://t.co/zXODGE4RKk via @TOIBusiness",2019-03-27 18:00:00
1110964677830422534,"""Don't you think this is more of a fear factor than anything else? I would think so,"" she said.
#IndiaElects… https://t.co/ePiHMwWiVX",2019-03-27 17:59:54
1110964446917099520,"#KXIP - 162/4, 18 Overs

57 runs to defend from 12 balls! LET'S FINISH THIS!

#KKRvKXIP #VIVOIPL #KKRHaiTaiyaar",2019-03-27 17:58:59
1110964421289865216,RT @moviesndtv: Through The Pages Of Ayan Mukerji's Brahmastra Diaries With Alia Bhatt And Ranbir Kapoor https://t.co/tKIXI3zozD https://t.…,2019-03-27 17:58:53
1110964355334455296,"RT @ndtvfeed: Bihar Set For Giriraj Singh, Kanhaiya Kumar Clash As Amit Shah Steps In https://t.co/Sv4tKQJuWQ",2019-03-27 17:58:37
1110964161171775488,"Are parties trying to “buy” your vote with online freebies?

@akashbanerjee, Author and Political Satirist on… https://t.co/VPk7nTTZn4",2019-03-27 17:57:51
1110964116448051205,"Match 6. 17.6: P Krishna to M Singh, 4 runs, 162/4 https://t.co/xuMescCuS1 #KKRvKXIP #VIVOIPL",2019-03-27 17:57:40
1110963960411357184,"British PM Theresa May will resign before next phase of Brexit negotiations: MP
https://t.co/tnDwdo3PPb https://t.co/9bH9DgnF5f",2019-03-27 17:57:03
